,region,topic_name
7,2,topic15
12,2,topic2
37,2,topic7
44,3,topic12
72,3,topic38
125,5,topic13
151,5,topic37
152,5,topic38
247,8,topic15
309,9,topic35
327,10,topic15
432,12,topic38
462,13,topic29
487,14,topic15
593,16,topic39
620,17,topic27
631,17,topic37
632,17,topic38
700,19,topic27
712,19,topic38
748,20,topic34
927,25,topic15
970,26,topic18
974,26,topic21
981,26,topic28
1099,29,topic26
1106,29,topic32
1112,29,topic38
1148,30,topic34
1156,30,topic6
1207,32,topic15
1212,32,topic2
1256,33,topic23
1302,34,topic29
1407,37,topic15
1431,37,topic37
1443,38,topic11
1456,38,topic23
1458,38,topic25
1487,39,topic15
