,region,topic,word
0,2,21,network resting
1,2,36,memory retrieval
2,2,36,memory retrieval
3,3,11,pain stimulation
4,3,22,stimulation motor
5,3,37,motor movement
6,3,37,motor movement
7,3,37,motor movement
8,4,20,attention target
9,4,20,attention target
10,4,24,performance cognitive
11,4,28,language reading
12,4,29,mental reasoning
13,4,29,mental reasoning
14,4,29,mental reasoning
15,4,3,condition conditions
16,4,39,control inhibition
17,4,9,memory wm
18,4,9,memory wm
19,4,9,memory wm
20,5,2,semantic sentences
21,5,2,semantic sentences
22,5,2,semantic sentences
23,5,2,semantic sentences
24,5,28,language reading
25,5,28,language reading
26,5,28,language reading
27,5,28,language reading
28,5,36,memory retrieval
29,5,36,memory retrieval
30,5,9,memory wm
31,6,27,object visual
32,7,11,pain stimulation
33,7,11,pain stimulation
34,7,11,pain stimulation
35,7,11,pain stimulation
36,7,11,pain stimulation
37,7,22,stimulation motor
38,7,37,motor movement
39,8,1,visual auditory
40,8,1,visual auditory
41,8,8,speech auditory
42,8,8,speech auditory
43,8,8,speech auditory
44,8,8,speech auditory
45,8,8,speech auditory
46,8,8,speech auditory
47,8,8,speech auditory
48,8,8,speech auditory
49,9,21,network resting
50,9,21,network resting
51,9,21,network resting
52,9,36,memory retrieval
53,9,38,network role
54,9,7,social person
55,9,7,social person
56,10,11,pain stimulation
57,10,34,reward decision
58,10,34,reward decision
59,11,11,pain stimulation
60,11,11,pain stimulation
61,11,11,pain stimulation
62,11,11,pain stimulation
63,11,28,language reading
64,11,28,language reading
65,11,3,condition conditions
66,11,3,condition conditions
67,11,34,reward decision
68,11,38,network role
69,11,38,network role
70,11,39,control inhibition
71,11,39,control inhibition
72,11,39,control inhibition
73,11,6,learning feedback
74,11,9,memory wm
75,11,9,memory wm
76,11,9,memory wm
77,13,15,spatial human
78,13,20,attention target
79,13,20,attention target
80,13,20,attention target
81,13,20,attention target
82,13,29,mental reasoning
83,13,29,mental reasoning
84,13,3,condition conditions
85,13,37,motor movement
86,13,37,motor movement
87,13,37,motor movement
88,13,37,motor movement
89,13,37,motor movement
90,13,9,memory wm
91,13,9,memory wm
92,14,25,emotional emotion
93,14,27,object visual
94,14,27,object visual
95,14,27,object visual
96,14,27,object visual
97,14,27,object visual
98,14,28,language reading
99,14,28,language reading
100,14,28,language reading
101,14,28,language reading
102,14,36,memory retrieval
103,15,1,visual auditory
104,15,1,visual auditory
105,15,1,visual auditory
106,15,20,attention target
107,15,20,attention target
108,15,20,attention target
109,15,25,emotional emotion
110,15,25,emotional emotion
111,15,27,object visual
112,15,27,object visual
113,15,27,object visual
114,15,27,object visual
115,15,27,object visual
116,15,27,object visual
117,15,37,motor movement
118,15,37,motor movement
119,15,37,motor movement
120,16,19,time events
121,16,22,stimulation motor
122,16,22,stimulation motor
123,16,22,stimulation motor
124,16,22,stimulation motor
125,16,37,motor movement
126,16,37,motor movement
127,16,37,motor movement
128,16,37,motor movement
129,16,37,motor movement
130,16,37,motor movement
131,16,37,motor movement
132,16,37,motor movement
133,16,37,motor movement
134,17,34,reward decision
135,17,34,reward decision
136,17,34,reward decision
137,17,34,reward decision
138,17,34,reward decision
139,17,34,reward decision
140,17,34,reward decision
141,17,34,reward decision
142,17,34,reward decision
143,17,6,learning feedback
144,17,6,learning feedback
145,17,6,learning feedback
146,18,11,pain stimulation
147,19,14,women sex
148,19,25,emotional emotion
149,19,25,emotional emotion
150,19,25,emotional emotion
151,19,25,emotional emotion
152,19,25,emotional emotion
153,19,25,emotional emotion
154,19,25,emotional emotion
155,19,25,emotional emotion
156,19,25,emotional emotion
157,19,25,emotional emotion
158,19,25,emotional emotion
159,19,30,stress fear
160,19,30,stress fear
161,19,30,stress fear
162,19,32,ad disease
163,19,35,priming food
164,19,36,memory retrieval
165,19,36,memory retrieval
166,19,36,memory retrieval
167,20,2,semantic sentences
168,20,24,performance cognitive
169,20,24,performance cognitive
170,20,28,language reading
171,20,28,language reading
172,20,28,language reading
173,20,28,language reading
174,20,28,language reading
175,20,28,language reading
176,20,29,mental reasoning
177,20,29,mental reasoning
178,20,29,mental reasoning
179,20,3,condition conditions
180,20,3,condition conditions
181,20,36,memory retrieval
182,20,36,memory retrieval
183,20,37,motor movement
184,20,37,motor movement
185,20,37,motor movement
186,20,38,network role
187,20,38,network role
188,20,39,control inhibition
189,20,39,control inhibition
190,20,9,memory wm
191,20,9,memory wm
192,20,9,memory wm
193,20,9,memory wm
194,20,9,memory wm
195,20,9,memory wm
